price,bed,bath,acre_lot,street,city,state,zip_code,house_size
105000.0,3.0,2.0,0.12,1962661.0,Adjuntas,Puerto Rico,601.0,920.0
80000.0,4.0,2.0,0.08,1902874.0,Adjuntas,Puerto Rico,601.0,1527.0
67000.0,2.0,1.0,0.15,1404990.0,Juana Diaz,Puerto Rico,795.0,748.0
145000.0,4.0,2.0,0.1,1947675.0,Ponce,Puerto Rico,731.0,1800.0
179000.0,4.0,3.0,0.46,1850806.0,San Sebastian,Puerto Rico,612.0,2520.0
50000.0,3.0,1.0,0.2,1298094.0,Ciales,Puerto Rico,639.0,2040.0
71600.0,3.0,2.0,0.08,1048466.0,Ponce,Puerto Rico,731.0,1050.0
100000.0,2.0,1.0,0.09,734904.0,Ponce,Puerto Rico,730.0,1092.0
300000.0,5.0,3.0,7.46,1946226.0,Las Marias,Puerto Rico,670.0,5403.0
89000.0,3.0,2.0,13.39,1902814.0,Isabela,Puerto Rico,662.0,1106.0
150000.0,3.0,2.0,0.08,1773902.0,Juana Diaz,Puerto Rico,795.0,1045.0
155000.0,3.0,2.0,0.1,1946165.0,Lares,Puerto Rico,669.0,4161.0
79000.0,5.0,2.0,0.12,1761024.0,Utuado,Puerto Rico,641.0,1620.0
649000.0,5.0,5.0,0.74,1879215.0,Ponce,Puerto Rico,731.0,2677.0
120000.0,3.0,2.0,0.08,17854.0,Yauco,Puerto Rico,698.0,1100.0
235000.0,4.0,4.0,0.22,13687.0,Mayaguez,Puerto Rico,680.0,3450.0
105000.0,3.0,2.0,0.08,1868721.0,Ponce,Puerto Rico,728.0,1500.0
575000.0,3.0,2.0,3.88,1312671.0,San Sebastian,Puerto Rico,685.0,4000.0
140000.0,6.0,3.0,0.25,6710.0,Anasco,Puerto Rico,610.0,1230.0
50000.0,2.0,1.0,0.23,1902835.0,Yauco,Puerto Rico,698.0,621.0
165000.0,6.0,3.0,0.1,117231.0,Moca,Puerto Rico,676.0,3000.0
189000.0,3.0,1.0,2.0,1307740.0,Coamo,Puerto Rico,769.0,1213.0
115000.0,3.0,2.0,0.37,481889.0,Ponce,Puerto Rico,716.0,1148.0
122500.0,3.0,2.0,0.05,437877.0,Yauco,Puerto Rico,698.0,1118.0
255000.0,3.0,2.0,0.28,1948621.0,San Sebastian,Puerto Rico,685.0,1500.0
425000.0,4.0,3.0,0.3,955013.0,Ponce,Puerto Rico,730.0,3000.0
93000.0,4.0,2.0,0.11,1854860.0,Guayanilla,Puerto Rico,656.0,1300.0
75000.0,4.0,2.0,0.04,511838.0,Manati,Puerto Rico,676.0,1080.0
469000.0,3.0,2.0,0.69,1857020.0,Isabela,Puerto Rico,662.0,2505.0
189000.0,6.0,3.0,1.75,1902849.0,Villalba,Puerto Rico,766.0,1943.0
225000.0,5.0,4.0,0.12,1987398.0,Ponce,Puerto Rico,717.0,1600.0
495000.0,4.0,2.0,3.08,1962660.0,Santa Isabel,Puerto Rico,757.0,2886.0
220000.0,1.0,1.0,0.1,523790.0,Ponce,Puerto Rico,730.0,850.0
70500.0,3.0,1.0,0.23,1856955.0,Yauco,Puerto Rico,698.0,936.0
305000.0,3.0,2.0,1.13,1902855.0,Moca,Puerto Rico,676.0,1928.0
475000.0,4.0,4.0,4.84,1940314.0,San Sebastian,Puerto Rico,685.0,3690.0
195000.0,3.0,4.0,1.94,1856898.0,Utuado,Puerto Rico,641.0,2500.0
120000.0,4.0,2.0,0.24,1667467.0,Las Marias,Puerto Rico,670.0,1800.0
650000.0,9.0,7.0,0.46,1902746.0,Mayaguez,Puerto Rico,680.0,3709.0
555000.0,5.0,3.0,0.16,480944.0,Ponce,Puerto Rico,730.0,3100.0
3900000.0,6.0,6.0,0.94,269007.0,Penuelas,Puerto Rico,624.0,9297.0
400000.0,,,0.99,1857015.0,Moca,Puerto Rico,676.0,43082.0
95000.0,3.0,2.0,0.1,1868667.0,Aguada,Puerto Rico,602.0,600.0
74000.0,3.0,1.0,0.09,1902824.0,Aguada,Puerto Rico,602.0,900.0
139500.0,4.0,2.0,0.15,397960.0,Aguada,Puerto Rico,602.0,3000.0
149900.0,1.0,1.0,0.26,1850822.0,Aguada,Puerto Rico,602.0,2100.0
180000.0,2.0,2.0,0.24,1234696.0,Aguada,Puerto Rico,602.0,1138.0
249000.0,3.0,2.0,0.13,1902736.0,Aguada,Puerto Rico,602.0,1380.0
252000.0,6.0,4.0,0.23,1902727.0,Aguada,Puerto Rico,602.0,2500.0
160000.0,2.0,1.0,0.37,1842923.0,Aguada,Puerto Rico,602.0,813.0
90000.0,2.0,1.0,0.07,1837494.0,Aguada,Puerto Rico,602.0,813.0
500000.0,5.0,3.0,1.78,10282.0,Aguada,Puerto Rico,602.0,2962.0
339000.0,4.0,2.0,0.1,268641.0,Aguada,Puerto Rico,602.0,1955.0
265000.0,3.0,2.0,0.08,1868699.0,Aguada,Puerto Rico,602.0,1200.0
389000.0,3.0,4.0,2.0,1902739.0,Aguada,Puerto Rico,602.0,1880.0
575000.0,3.0,2.0,2.96,1962620.0,Aguada,Puerto Rico,602.0,2500.0
720000.0,3.0,3.0,0.37,1667516.0,Aguada,Puerto Rico,602.0,2715.0
375000.0,7.0,5.0,0.31,166250.0,Aguada,Puerto Rico,602.0,2775.0
1399000.0,5.0,3.0,8.74,6714.0,Aguada,Puerto Rico,602.0,5517.0
600000.0,6.0,5.0,0.1,1946165.0,Aguada,Puerto Rico,602.0,2400.0
189000.0,2.0,1.0,0.37,1902894.0,Aguada,Puerto Rico,602.0,951.0
215000.0,3.0,2.0,0.22,595559.0,Aguadilla,Puerto Rico,603.0,2070.0
63000.0,3.0,2.0,0.05,1856967.0,Aguadilla,Puerto Rico,603.0,1184.0
215000.0,3.0,2.0,0.22,1268649.0,Aguadilla,Puerto Rico,603.0,1900.0
115000.0,3.0,1.0,0.2,1962563.0,Aguadilla,Puerto Rico,603.0,980.0
99000.0,4.0,2.0,0.89,1499349.0,Aguadilla,Puerto Rico,603.0,1408.0
850000.0,5.0,5.0,0.62,792809.0,Aguadilla,Puerto Rico,603.0,8460.0
140000.0,3.0,2.0,0.11,1868702.0,Aguadilla,Puerto Rico,603.0,1116.0
499000.0,4.0,3.0,0.26,117065.0,Aguadilla,Puerto Rico,603.0,3734.0
180000.0,3.0,2.0,0.17,846259.0,Aguadilla,Puerto Rico,603.0,1500.0
225900.0,6.0,3.0,0.49,1946283.0,Aguadilla,Puerto Rico,603.0,2618.0
260000.0,4.0,2.0,0.12,1136713.0,Aguadilla,Puerto Rico,603.0,1760.0
500000.0,4.0,3.0,0.33,1902866.0,Aguadilla,Puerto Rico,603.0,2950.0
225000.0,3.0,2.0,0.21,1838380.0,Aguada,Puerto Rico,603.0,1565.0
425000.0,4.0,2.0,0.95,1946165.0,Aguadilla,Puerto Rico,603.0,3468.0
300000.0,4.0,2.0,10.76,1258490.0,Aguadilla,Puerto Rico,603.0,547.0
290000.0,3.0,2.0,0.15,117027.0,Aguadilla,Puerto Rico,603.0,2280.0
550000.0,3.0,4.0,0.2,483647.0,Aguadilla,Puerto Rico,603.0,4020.0
234900.0,6.0,2.0,0.18,1850808.0,Aguadilla,Puerto Rico,603.0,2035.0
620000.0,5.0,3.0,0.52,119241.0,Aguadilla,Puerto Rico,603.0,3267.0
649900.0,8.0,3.0,0.19,1850840.0,Aguadilla,Puerto Rico,603.0,3700.0
98000.0,5.0,2.0,4.55,1850836.0,Maricao,Puerto Rico,606.0,2156.0
55000.0,5.0,2.0,5.14,1857017.0,Maricao,Puerto Rico,606.0,2156.0
75000.0,5.0,2.0,4.86,1856895.0,Maricao,Puerto Rico,606.0,1563.0
80000.0,3.0,1.0,0.35,1897887.0,Maricao,Puerto Rico,606.0,915.0
46900.0,3.0,1.0,0.37,1757054.0,Mayaguez,Puerto Rico,680.0,982.0
125000.0,8.0,5.0,0.09,436480.0,Hormigueros,Puerto Rico,660.0,2000.0
95000.0,2.0,2.0,0.15,595722.0,Guanica,Puerto Rico,653.0,1393.0
330000.0,3.0,2.0,1.75,1902816.0,Cabo Rojo,Puerto Rico,623.0,1620.0
115000.0,3.0,2.0,0.09,1394934.0,Mayaguez,Puerto Rico,680.0,1760.0
285000.0,2.0,1.0,4.74,575006.0,Cabo Rojo,Puerto Rico,623.0,1000.0
215000.0,7.0,4.0,0.11,1480314.0,Mayaguez,Puerto Rico,680.0,2200.0
115000.0,3.0,2.0,0.37,962228.0,Cabo Rojo,Puerto Rico,623.0,1205.0
140000.0,3.0,2.0,0.14,757729.0,Mayaguez,Puerto Rico,680.0,1200.0
250000.0,4.0,2.0,0.08,1071244.0,Cabo Rojo,Puerto Rico,623.0,3052.0
70000.0,3.0,1.0,0.08,387673.0,San German,Puerto Rico,683.0,894.0
190000.0,5.0,5.0,0.08,6946.0,Mayaguez,Puerto Rico,680.0,1600.0
150000.0,3.0,1.0,0.07,598681.0,San German,Puerto Rico,683.0,363.0
750000.0,12.0,6.0,0.52,1855338.0,Cabo Rojo,Puerto Rico,623.0,4800.0
125000.0,,1.0,0.37,939072.0,Mayaguez,Puerto Rico,682.0,390.0
950000.0,9.0,8.0,0.17,1854848.0,Rincon,Puerto Rico,677.0,3852.0
1200000.0,5.0,4.0,1.8,1181969.0,Aguada,Puerto Rico,677.0,6000.0
495000.0,4.0,3.0,0.4,1446813.0,Lajas,Puerto Rico,667.0,6500.0
90000.0,3.0,1.0,0.19,950033.0,Mayaguez,Puerto Rico,682.0,778.0
395000.0,3.0,2.0,0.25,948184.0,Cabo Rojo,Puerto Rico,623.0,2800.0
82000.0,1.0,1.0,0.37,1840559.0,Mayaguez,Puerto Rico,680.0,471.0
389000.0,2.0,2.0,0.37,593379.0,Cabo Rojo,Puerto Rico,623.0,1356.0
149900.0,3.0,2.0,0.15,6713.0,Anasco,Puerto Rico,610.0,1687.0
106000.0,2.0,1.0,0.13,1966340.0,Anasco,Puerto Rico,610.0,826.0
165000.0,5.0,3.0,0.11,560745.0,Anasco,Puerto Rico,610.0,2327.0
450000.0,4.0,7.0,0.76,1793737.0,Isabela,Puerto Rico,662.0,4000.0
485000.0,4.0,3.0,0.21,1446871.0,Isabela,Puerto Rico,662.0,3066.0
1800000.0,6.0,3.0,0.97,1902806.0,Isabela,Puerto Rico,662.0,10000.0
975000.0,6.0,4.0,16.0,1913925.0,Isabela,Puerto Rico,662.0,3739.0
950000.0,4.0,2.0,0.49,6927.0,Rincon,Puerto Rico,677.0,2450.0
349000.0,3.0,2.0,0.37,1966335.0,Rincon,Puerto Rico,677.0,1688.0
39900.0,3.0,1.0,0.37,1862028.0,Arecibo,Puerto Rico,612.0,878.0
29900.0,3.0,1.0,0.37,1862027.0,Arecibo,Puerto Rico,612.0,878.0
475000.0,1.0,3.0,0.13,1427607.0,Arecibo,Puerto Rico,612.0,10000.0
200000.0,4.0,3.0,0.24,1946165.0,Arecibo,Puerto Rico,612.0,3413.0
148000.0,5.0,2.0,0.49,1902831.0,Arecibo,Puerto Rico,612.0,2058.0
39500.0,1.0,1.0,0.14,1946165.0,Arecibo,Puerto Rico,612.0,800.0
220000.0,6.0,3.0,0.45,1856978.0,Arecibo,Puerto Rico,612.0,2900.0
75000.0,3.0,2.0,0.27,1856974.0,Arecibo,Puerto Rico,612.0,1100.0
110000.0,4.0,2.0,0.13,1856516.0,Arecibo,Puerto Rico,612.0,1000.0
150000.0,7.0,4.0,0.49,1946210.0,Arecibo,Puerto Rico,612.0,800.0
79000.0,6.0,3.0,0.09,1855343.0,Arecibo,Puerto Rico,612.0,2472.0
65000.0,3.0,1.0,0.09,1856972.0,Arecibo,Puerto Rico,612.0,1044.0
179000.0,5.0,3.0,0.08,1855451.0,Arecibo,Puerto Rico,612.0,2200.0
145000.0,3.0,2.0,0.86,1427895.0,Arecibo,Puerto Rico,612.0,3500.0
79000.0,3.0,1.0,0.13,821104.0,Arecibo,Puerto Rico,612.0,1262.0
360000.0,5.0,2.0,0.42,1567105.0,Arecibo,Puerto Rico,612.0,6000.0
134900.0,,,0.25,1840769.0,Arecibo,Puerto Rico,612.0,1856.0
94600.0,3.0,1.0,0.08,1992381.0,Arecibo,Puerto Rico,612.0,1009.0
239000.0,7.0,3.0,0.31,1551669.0,Arecibo,Puerto Rico,612.0,2715.0
279000.0,3.0,3.0,0.19,1902853.0,Arecibo,Puerto Rico,612.0,2872.0
100000.0,3.0,1.0,4.89,1900756.0,Arecibo,Puerto Rico,612.0,1028.0
168000.0,4.0,3.0,0.25,1902837.0,Arecibo,Puerto Rico,612.0,1600.0
150000.0,3.0,2.0,0.29,1509489.0,Arecibo,Puerto Rico,612.0,1604.0
140000.0,8.0,2.0,0.13,918510.0,Arecibo,Puerto Rico,612.0,1500.0
70000.0,2.0,1.0,0.1,1855345.0,Arecibo,Puerto Rico,612.0,680.0
80000.0,3.0,1.0,0.06,982996.0,Arecibo,Puerto Rico,612.0,750.0
